having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result,_nsyn_controllable_columns,_nsyn_noisy_injected
1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,0,1,0,-1,1,-1,-1,-1,-1,1,0,-1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'Favicon', 'SFH', 'Redirect', 'RightClick']",True
1,-1,1,1,1,-1,0,-1,-1,-1,-1,1,1,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'Favicon', 'SFH', 'Redirect', 'popUpWidnow']",False
1,0,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'Domain_registeration_length', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'Page_Rank']",False
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,0,-1,-1,0,-1,-1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,-1,1,1,-1,-1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,-1,0,0,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'having_Sub_Domain', 'Domain_registeration_length', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'Result']",False
1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,0,0,-1,1,1,0,1,1,-1,1,-1,-1,0,1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'RightClick', 'popUpWidnow']",False
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,1,0,-1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'Favicon', 'SFH', 'Redirect', 'popUpWidnow']",False
1,-1,1,1,1,-1,0,0,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,0,1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'having_Sub_Domain', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,-1,-1,0,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,0,-1,-1,1,1,1,1,-1,-1,-1,1,-1,0,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'popUpWidnow']",True
1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,0,1,-1,1,1,0,1,1,-1,-1,1,-1,0,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'popUpWidnow']",False
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,1,-1,-1,1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,-1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,1,1,1,1,1,-1,1,-1,1,1,-1,1,0,0,1,1,1,0,1,0,1,1,-1,-1,1,1,1,-1,1,1,"['having_IP_Address', 'Domain_registeration_length', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,1,1,1,1,1,1,1,1,-1,-1,1,-1,0,-1,1,-1,1,0,-1,-1,0,-1,1,-1,1,1,1,1,-1,1,"['having_IP_Address', 'double_slash_redirecting', 'Favicon', 'Redirect', 'popUpWidnow']",True
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,1,1,1,1,1,1,-1,0,0,1,1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
-1,-1,1,1,1,-1,0,1,-1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,1,0,1,1,-1,1,-1,-1,-1,-1,1,0,-1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'Favicon', 'SFH', 'Redirect', 'RightClick']",False
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,0,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,1,1,-1,1,-1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,-1,1,-1,-1,1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,0,1,-1,-1,-1,1,-1,1,1,-1,-1,1,0,1,1,-1,1,-1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'double_slash_redirecting', 'Favicon', 'SFH', 'Abnormal_URL', 'Redirect', 'RightClick']",False
1,-1,1,1,1,-1,-1,0,1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,1,-1,-1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,0,1,1,1,1,1,-1,0,1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,-1,-1,-1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'Abnormal_URL', 'Redirect', 'RightClick', 'popUpWidnow']",False
1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,-1,1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,0,-1,1,1,0,1,-1,1,1,-1,-1,1,-1,1,0,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
0,-1,1,1,1,-1,0,-1,1,-1,1,1,-1,-1,0,-1,1,-1,0,1,1,-1,1,-1,-1,0,-1,1,1,-1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'SFH', 'Redirect', 'RightClick', 'popUpWidnow']",True
-1,-1,1,1,1,-1,0,1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
