V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,target
31.0,50.0,2381257.0,2381400.0,1371.0,114.0,144.0,150413.0,85,132,1356.0,1,0,70.0,0.0457,0.4954,0.1329,0.014,0.1667,0.9931,1.0,3.137,1.2787,2.1553,0.8671,-0.1429,1.0,Z_Scratch
43.0,214.0,1164302.0,1164475.0,14969.0,805.0,503.0,1758655.0,27,142,1400.0,0,1,40.0,0.0614,0.494,0.9884,0.1221,0.2124,0.3439,1.0,4.1752,2.233,2.238,0.0116,-0.0821,1.0,K_Scratch
699.0,708.0,86285.0,86296.0,57.0,11.0,12.0,10612.0,179,197,1353.0,0,1,200.0,0.9534,0.4242,0.8182,0.0066,0.8182,0.9167,1.0,1.7559,0.9542,1.0414,0.1818,0.4545,0.2051,Other_Faults
1593.0,1608.0,1724027.0,1724129.0,927.0,65.0,103.0,89508.0,68,127,1698.0,0,1,90.0,0.106,0.3941,0.1471,0.0088,0.2308,0.9903,1.0,2.9671,1.1761,2.0086,0.8529,-0.2456,0.9997,Pastry
72.0,145.0,98042.0,98192.0,6156.0,233.0,211.0,543449.0,69,109,1362.0,0,1,200.0,0.1057,0.4378,0.4867,0.0536,0.3133,0.7109,1.0,3.7893,1.8633,2.1761,0.5133,-0.3103,1.0,Other_Faults
525.0,563.0,1054602.0,1054610.0,170.0,44.0,15.0,21321.0,118,134,1687.0,0,1,200.0,0.6224,0.4408,0.2105,0.0225,0.8636,0.5333,0.0,2.2304,1.5798,0.9031,-0.7895,-0.0202,0.5029,Other_Faults
37.0,213.0,1566243.0,1566309.0,6210.0,293.0,153.0,645839.0,38,124,1356.0,0,1,40.0,0.0546,0.4654,0.375,0.1298,0.6007,0.4314,0.0,3.7931,2.2455,1.8195,-0.625,-0.1875,1.0,K_Scratch
1559.0,1573.0,1658945.0,1658959.0,115.0,19.0,14.0,10923.0,71,118,1694.0,1,0,60.0,0.1429,0.4133,1.0,0.0083,0.7368,1.0,0.5,2.0607,1.1461,1.1461,0.0,-0.258,0.33,Bumps
1103.0,1122.0,4474894.0,4474920.0,289.0,57.0,33.0,33682.0,99,134,1366.0,1,0,80.0,0.3573,0.415,0.7308,0.0139,0.3333,0.7879,1.0,2.4609,1.2787,1.415,0.2692,-0.0895,0.7822,Bumps
647.0,667.0,2162587.0,2162594.0,62.0,24.0,15.0,5744.0,82,109,1370.0,1,0,80.0,0.9445,0.5571,0.35,0.0146,0.8333,0.4667,0.0,1.7924,1.301,0.8451,-0.65,-0.2762,0.2532,Other_Faults
734.0,747.0,3980510.0,3980528.0,177.0,18.0,18.0,19435.0,91,126,1666.0,0,1,40.0,0.8812,0.2436,0.7222,0.0078,0.7222,1.0,1.0,2.248,1.1139,1.2553,0.2778,-0.1422,0.3882,Bumps
65.0,80.0,1359784.0,1359820.0,390.0,30.0,36.0,38672.0,80,118,1358.0,1,0,70.0,0.0957,0.2778,0.4167,0.011,0.5,1.0,1.0,2.5911,1.1761,1.5563,0.5833,-0.2253,0.8299,Z_Scratch
1207.0,1229.0,1438781.0,1438802.0,294.0,69.0,41.0,35659.0,116,128,1602.0,0,1,40.0,0.4657,0.3636,0.9546,0.0137,0.3188,0.5122,0.0,2.4683,1.3424,1.3222,-0.0454,-0.0524,0.7436,Other_Faults
729.0,742.0,832264.0,832282.0,148.0,21.0,19.0,15761.0,96,117,1626.0,1,0,70.0,0.8967,0.3675,0.7222,0.008,0.6191,0.9474,1.0,2.1703,1.1139,1.2553,0.2778,-0.168,0.3882,Bumps
1348.0,1360.0,662867.0,662880.0,106.0,16.0,14.0,10152.0,73,124,1696.0,1,0,80.0,0.3962,0.3205,0.9231,0.0071,0.75,0.9286,1.0,2.0253,1.0792,1.1139,0.0769,-0.2518,0.2739,Bumps
0.0,12.0,430948.0,430980.0,304.0,18.0,32.0,34142.0,90,133,1687.0,0,1,200.0,0.0,0.2083,0.375,0.0071,0.6667,1.0,1.0,2.4829,1.0792,1.5051,0.625,-0.1226,0.633,Other_Faults
1495.0,1560.0,123779.0,123815.0,1002.0,97.0,64.0,99456.0,87,116,1633.0,0,1,300.0,0.0894,0.5718,0.5538,0.0398,0.6701,0.5625,0.0,3.0009,1.8129,1.5563,-0.4462,-0.2245,1.0,Other_Faults
51.0,61.0,585861.0,585888.0,139.0,21.0,27.0,8233.0,40,78,1356.0,1,0,70.0,0.0752,0.4852,0.3704,0.0074,0.4762,1.0,1.0,2.143,1.0,1.4314,0.6296,-0.5373,0.4465,Z_Scratch
41.0,197.0,1959683.0,1959850.0,11411.0,801.0,433.0,1303229.0,40,141,1400.0,0,1,40.0,0.0586,0.562,0.9341,0.1114,0.1948,0.3857,1.0,4.0573,2.1931,2.2227,0.0659,-0.1077,1.0,K_Scratch
1563.0,1579.0,173199.0,173219.0,174.0,30.0,27.0,20469.0,106,127,1692.0,0,1,300.0,0.1336,0.4563,0.8,0.0095,0.5333,0.7407,1.0,2.2406,1.2041,1.301,0.2,-0.0809,0.5296,Other_Faults
900.0,916.0,693632.0,693638.0,53.0,17.0,8.0,6697.0,110,143,1692.0,1,0,143.0,0.9173,0.4479,0.375,0.0095,0.9412,0.75,0.0,1.7243,1.2041,0.7782,-0.625,-0.0128,0.2018,Other_Faults
41.0,214.0,2566935.0,2566997.0,6075.0,242.0,131.0,633606.0,47,127,1358.0,0,1,40.0,0.0604,0.4336,0.3584,0.1274,0.7149,0.4733,0.0,3.7836,2.238,1.7924,-0.6416,-0.1852,1.0,K_Scratch
462.0,486.0,1226170.0,1226204.0,493.0,56.0,38.0,59901.0,105,141,1354.0,1,0,70.0,0.6824,0.3958,0.7059,0.0177,0.4286,0.8947,1.0,2.6929,1.3802,1.5315,0.2941,-0.0508,0.9685,Z_Scratch
23.0,32.0,1748216.0,1748249.0,170.0,28.0,33.0,16182.0,84,109,1333.0,0,1,40.0,0.0345,0.4276,0.2727,0.0068,0.3214,1.0,1.0,2.2304,0.9542,1.5185,0.7273,-0.2563,0.4913,Other_Faults
1579.0,1600.0,188073.0,188125.0,509.0,68.0,57.0,53843.0,49,124,1692.0,0,1,300.0,0.1088,0.5339,0.4038,0.0124,0.3088,0.9123,1.0,2.7067,1.3222,1.716,0.5961,-0.1736,0.9949,Other_Faults
395.0,443.0,2258772.0,2258779.0,226.0,50.0,18.0,25843.0,106,126,1360.0,0,1,40.0,0.5809,0.3274,0.1458,0.0353,0.96,0.3889,0.0,2.3541,1.6812,0.8451,-0.8542,-0.1066,0.556,Other_Faults
30.0,58.0,1772722.0,1772736.0,253.0,50.0,26.0,28728.0,86,135,1356.0,1,0,70.0,0.0443,0.3546,0.5,0.0206,0.56,0.5385,0.0,2.4031,1.4472,1.1461,-0.5,-0.1129,0.6453,Z_Scratch
52.0,88.0,1082492.0,1082521.0,662.0,55.0,33.0,61753.0,44,126,1690.0,1,0,60.0,0.0615,0.3659,0.8056,0.0213,0.6546,0.8788,0.0,2.8209,1.5563,1.4624,-0.1944,-0.2712,0.9929,Bumps
767.0,784.0,45270.0,45288.0,182.0,22.0,18.0,14763.0,72,93,1630.0,0,1,140.0,0.9411,0.4052,0.9444,0.0104,0.7727,1.0,1.0,2.2601,1.2305,1.2553,0.0556,-0.3663,0.5063,Other_Faults
93.0,172.0,938265.0,938349.0,2108.0,317.0,184.0,263590.0,115,135,1358.0,0,1,40.0,0.137,0.6823,0.9405,0.0582,0.2492,0.4565,1.0,3.3239,1.8976,1.9243,0.0595,-0.0231,1.0,K_Scratch
367.0,440.0,795618.0,795659.0,2108.0,80.0,61.0,175110.0,6,119,1387.0,0,1,40.0,0.5292,0.2957,0.5616,0.0526,0.9125,0.6721,0.0,3.3239,1.8633,1.6128,-0.4384,-0.351,1.0,K_Scratch
39.0,187.0,2662727.0,2662812.0,6397.0,381.0,216.0,701931.0,55,141,1400.0,0,1,40.0,0.0557,0.4915,0.5743,0.1057,0.3884,0.3935,0.0,3.806,2.1703,1.9294,-0.4257,-0.1427,1.0,K_Scratch
83.0,99.0,690095.0,690120.0,279.0,21.0,25.0,30271.0,61,135,1366.0,1,0,80.0,0.1215,0.3025,0.64,0.0117,0.7619,1.0,1.0,2.4456,1.2041,1.3979,0.36,-0.1524,0.6574,Bumps
475.0,482.0,626952.0,626956.0,18.0,7.0,4.0,2319.0,112,140,1360.0,0,1,50.0,0.6985,0.3571,0.5714,0.0052,1.0,1.0,0.0,1.2553,0.8451,0.6021,-0.4286,0.0065,0.1384,Stains
43.0,186.0,143167.0,143219.0,4403.0,215.0,115.0,457632.0,38,126,1360.0,0,1,40.0,0.0632,0.4079,0.3636,0.1051,0.6651,0.4522,0.0,3.6437,2.1553,1.716,-0.6364,-0.188,1.0,K_Scratch
765.0,771.0,879259.0,879265.0,16.0,9.0,8.0,2069.0,123,140,1358.0,0,1,50.0,0.8645,0.5556,1.0,0.0044,0.6667,0.75,0.5,1.2041,0.7782,0.7782,0.0,0.0103,0.1449,Stains
609.0,621.0,6791894.0,6791907.0,101.0,16.0,13.0,11579.0,101,127,1362.0,0,1,40.0,0.8943,0.3526,0.9231,0.0088,0.75,1.0,1.0,2.0043,1.0792,1.1139,0.0769,-0.1044,0.2739,Bumps
39.0,212.0,1715280.0,1715348.0,6596.0,316.0,170.0,685447.0,44,124,1358.0,0,1,40.0,0.0574,0.4393,0.3931,0.1274,0.5475,0.4,0.0,3.8193,2.238,1.8325,-0.6069,-0.1881,1.0,K_Scratch
816.0,824.0,40184.0,40195.0,75.0,8.0,11.0,14016.0,157,206,1387.0,0,1,40.0,0.8118,0.1477,0.7273,0.0058,1.0,1.0,1.0,1.8751,0.9031,1.0414,0.2727,0.46,0.1934,K_Scratch
88.0,106.0,327251.0,327262.0,109.0,18.0,11.0,11746.0,100,119,1692.0,1,0,70.0,0.104,0.4495,0.6111,0.0106,1.0,1.0,0.0,2.0374,1.2553,1.0414,-0.3889,-0.1581,0.3329,Other_Faults
581.0,589.0,1273552.0,1273556.0,18.0,9.0,5.0,2274.0,110,141,1362.0,0,1,50.0,0.8532,0.4375,0.5,0.0059,0.8889,0.8,0.0,1.2553,0.9031,0.6021,-0.5,-0.013,0.1417,Stains
1200.0,1220.0,971714.0,971922.0,1804.0,175.0,211.0,214243.0,101,135,1360.0,0,1,175.0,0.2059,0.5663,0.0962,0.0147,0.1143,0.9858,1.0,3.2562,1.301,2.3181,0.9039,-0.0722,1.0,Z_Scratch
243.0,254.0,205684.0,205730.0,305.0,37.0,46.0,14320.0,7,86,1692.0,0,1,300.0,0.2872,0.3972,0.2391,0.0065,0.2973,1.0,1.0,2.4843,1.0414,1.6628,0.7609,-0.6332,0.7955,Other_Faults
512.0,524.0,1261077.0,1261088.0,74.0,15.0,11.0,8292.0,93,132,1364.0,1,0,70.0,0.7507,0.4394,0.9167,0.0088,0.8,1.0,0.0,1.8692,1.0792,1.0414,-0.0833,-0.1246,0.2432,Other_Faults
7.0,19.0,2153394.0,2153410.0,93.0,19.0,17.0,9214.0,90,108,1356.0,1,0,70.0,0.0103,0.5156,0.75,0.0088,0.6316,0.9412,1.0,1.9685,1.0792,1.2041,0.25,-0.226,0.3241,Z_Scratch
143.0,166.0,518468.0,518483.0,206.0,34.0,18.0,23642.0,101,127,1358.0,0,1,175.0,0.2106,0.4029,0.6522,0.0169,0.6765,0.8333,0.0,2.3139,1.3617,1.1761,-0.3478,-0.1034,0.5708,Other_Faults
1087.0,1119.0,80993.0,80996.0,64.0,32.0,7.0,9247.0,92,190,1692.0,1,0,70.0,0.6773,0.3333,0.0938,0.0189,1.0,0.4286,0.0,1.8062,1.5051,0.4771,-0.9063,0.1288,0.2018,Other_Faults
39.0,192.0,1831860.0,1832017.0,11809.0,621.0,400.0,1367596.0,36,141,1400.0,0,1,40.0,0.0557,0.5084,0.9745,0.1093,0.2464,0.3925,1.0,4.0722,2.1847,2.1959,0.0255,-0.0952,1.0,K_Scratch
39.0,210.0,1463330.0,1463399.0,6399.0,229.0,124.0,659350.0,39,119,1356.0,0,1,40.0,0.0575,0.4577,0.4035,0.1261,0.7467,0.5565,0.0,3.8061,2.233,1.8389,-0.5965,-0.195,1.0,K_Scratch
557.0,567.0,1130873.0,1130901.0,171.0,23.0,28.0,17836.0,92,124,1360.0,1,0,100.0,0.8191,0.3893,0.3571,0.0074,0.4348,1.0,1.0,2.233,1.0,1.4472,0.6429,-0.1851,0.463,Bumps
19.0,28.0,2811785.0,2811821.0,192.0,35.0,36.0,18361.0,80,118,1354.0,1,0,70.0,0.0281,0.4074,0.25,0.0066,0.2571,1.0,1.0,2.2833,0.9542,1.5563,0.75,-0.2529,0.5362,Z_Scratch
0.0,33.0,570024.0,570254.0,3325.0,117.0,257.0,326345.0,0,134,1353.0,0,1,70.0,0.0,0.5619,0.1435,0.0244,0.2821,0.8949,1.0,3.5218,1.5185,2.3617,0.8565,-0.2332,1.0,Other_Faults
174.0,203.0,1008474.0,1008502.0,328.0,69.0,41.0,37200.0,101,126,1692.0,1,0,80.0,0.2057,0.5961,0.9655,0.0171,0.4203,0.6829,0.0,2.5159,1.4624,1.4472,-0.0345,-0.1139,0.9676,Bumps
39.0,214.0,1242405.0,1242592.0,15414.0,796.0,478.0,1798470.0,24,142,1400.0,0,1,40.0,0.0557,0.529,0.9358,0.125,0.2199,0.3912,1.0,4.1879,2.243,2.2718,0.0642,-0.0885,1.0,K_Scratch
1245.0,1258.0,702370.0,702405.0,337.0,26.0,35.0,33379.0,68,125,1354.0,0,1,50.0,0.1418,0.2593,0.3714,0.0096,0.5,1.0,1.0,2.5276,1.1139,1.5441,0.6286,-0.2262,0.7347,Pastry
1533.0,1542.0,1031539.0,1031599.0,382.0,43.0,60.0,38206.0,77,118,1632.0,1,0,100.0,0.1103,0.2926,0.15,0.0055,0.2093,1.0,1.0,2.5821,0.9542,1.7781,0.85,-0.2186,0.8299,Pastry
260.0,272.0,477075.0,477082.0,55.0,12.0,7.0,6106.0,101,124,1356.0,1,0,70.0,0.3835,0.3452,0.5833,0.0088,1.0,1.0,0.0,1.7404,1.0792,0.8451,-0.4167,-0.1327,0.1892,Z_Scratch
39.0,216.0,2662735.0,2662807.0,6664.0,328.0,172.0,690169.0,33,124,1358.0,0,1,40.0,0.0574,0.4771,0.4068,0.1303,0.5396,0.4186,0.0,3.8237,2.248,1.8573,-0.5932,-0.1909,1.0,K_Scratch
15.0,29.0,1084661.0,1084680.0,128.0,17.0,21.0,14278.0,104,119,1373.0,0,1,40.0,0.0218,0.5188,0.7368,0.0102,0.8235,0.9048,1.0,2.1072,1.1461,1.2787,0.2632,-0.1285,0.4399,Other_Faults
105.0,125.0,843822.0,843837.0,155.0,37.0,23.0,19453.0,120,134,1362.0,0,1,40.0,0.1542,0.4833,0.75,0.0147,0.5405,0.6522,0.0,2.1903,1.301,1.1761,-0.25,-0.0195,0.4963,Z_Scratch
49.0,62.0,4822354.0,4822392.0,386.0,15.0,38.0,36875.0,51,124,1373.0,0,1,40.0,0.0714,0.2186,0.3421,0.0095,0.8667,1.0,1.0,2.5866,1.1139,1.5798,0.6579,-0.2537,0.7822,Pastry
13.0,21.0,2058002.0,2058016.0,91.0,12.0,14.0,8106.0,79,101,1358.0,1,0,70.0,0.0192,0.1875,0.5714,0.0059,0.6667,1.0,1.0,1.959,0.9031,1.1461,0.4286,-0.3041,0.2195,Z_Scratch
614.0,622.0,2206544.0,2206572.0,161.0,18.0,28.0,18877.0,108,134,1364.0,0,1,100.0,0.9003,0.2813,0.2857,0.0059,0.4444,1.0,1.0,2.2068,0.9031,1.4472,0.7143,-0.084,0.3725,Dirtiness
299.0,309.0,1738808.0,1738812.0,19.0,10.0,7.0,2351.0,116,134,1360.0,0,1,50.0,0.4397,0.525,0.4,0.0074,1.0,0.5714,0.0,1.2787,1.0,0.6021,-0.6,-0.0333,0.1483,Stains
114.0,134.0,115356.0,115418.0,532.0,75.0,73.0,54451.0,94,111,1392.0,0,1,220.0,0.1638,0.571,0.3226,0.0144,0.2667,0.8493,1.0,2.7259,1.301,1.7924,0.6774,-0.2004,0.9981,Other_Faults
213.0,227.0,9496251.0,9496258.0,56.0,16.0,8.0,7105.0,118,140,1360.0,1,0,100.0,0.3132,0.4286,0.5,0.0103,0.875,0.875,0.0,1.7482,1.1461,0.8451,-0.5,-0.0088,0.204,Other_Faults
169.0,186.0,1495862.0,1495883.0,215.0,36.0,22.0,24463.0,103,125,1356.0,1,0,70.0,0.2493,0.3978,0.8095,0.0125,0.4722,0.9546,1.0,2.3324,1.2305,1.3222,0.1905,-0.1111,0.5903,Z_Scratch
1097.0,1114.0,4413249.0,4413282.0,238.0,62.0,41.0,27036.0,96,134,1362.0,1,0,80.0,0.3642,0.5758,0.5152,0.0125,0.2742,0.8049,1.0,2.3766,1.2305,1.5185,0.4848,-0.1125,0.8488,Bumps
122.0,146.0,203252.0,203261.0,95.0,33.0,22.0,12566.0,124,143,1362.0,0,1,40.0,0.1792,0.5602,0.375,0.0176,0.7273,0.4091,0.0,1.9777,1.3802,0.9542,-0.625,0.0334,0.3601,Other_Faults
39.0,215.0,1601728.0,1601796.0,6430.0,276.0,127.0,669161.0,46,126,1358.0,0,1,40.0,0.0574,0.4627,0.3864,0.1296,0.6377,0.5354,0.0,3.8082,2.2455,1.8325,-0.6136,-0.187,1.0,K_Scratch
1059.0,1069.0,117715.0,117724.0,76.0,10.0,9.0,15483.0,195,213,1387.0,0,1,40.0,0.4585,0.1556,0.9,0.0072,1.0,1.0,0.0,1.8808,1.0,0.9542,-0.1,0.5916,0.1954,K_Scratch
9.0,14.0,1672180.0,1672222.0,128.0,12.0,42.0,11931.0,75,118,1373.0,0,1,40.0,0.0131,0.3905,0.1191,0.0036,0.4167,1.0,1.0,2.1072,0.699,1.6233,0.8809,-0.2718,0.3509,Other_Faults
356.0,367.0,1411801.0,1411815.0,75.0,19.0,16.0,7384.0,89,109,1358.0,1,0,70.0,0.5243,0.513,0.7857,0.0081,0.5789,0.875,1.0,1.8751,1.0414,1.1461,0.2143,-0.2308,0.2712,Z_Scratch
1217.0,1225.0,1413272.0,1413276.0,12.0,9.0,4.0,1509.0,112,143,1358.0,0,1,50.0,0.1959,0.625,0.5,0.0059,0.8889,1.0,0.0,1.0792,0.9031,0.6021,-0.5,-0.0176,0.1417,Stains
1202.0,1215.0,1127580.0,1127599.0,119.0,24.0,20.0,13662.0,106,127,1364.0,0,1,175.0,0.2185,0.5182,0.6842,0.0095,0.5417,0.95,1.0,2.0756,1.1139,1.2787,0.3158,-0.1031,0.4089,Z_Scratch
4.0,12.0,455227.0,455253.0,125.0,15.0,26.0,14353.0,102,126,1687.0,0,1,200.0,0.0047,0.399,0.3077,0.0047,0.5333,1.0,1.0,2.0969,0.9031,1.415,0.6923,-0.1029,0.3479,Other_Faults
1571.0,1585.0,689792.0,689890.0,861.0,78.0,98.0,90154.0,91,126,1696.0,0,1,90.0,0.1309,0.3724,0.1429,0.0082,0.1795,1.0,1.0,2.935,1.1461,1.9912,0.8571,-0.182,0.9992,Pastry
38.0,63.0,1148345.0,1148364.0,241.0,45.0,35.0,14875.0,42,85,1356.0,1,0,70.0,0.056,0.4926,0.76,0.0184,0.5556,0.5429,0.0,2.382,1.3979,1.2787,-0.24,-0.5178,0.7598,Z_Scratch
39.0,190.0,1735985.0,1736165.0,11355.0,639.0,388.0,1299720.0,31,141,1402.0,0,1,40.0,0.0556,0.5822,0.8389,0.1077,0.2363,0.4639,1.0,4.0552,2.179,2.2553,0.1611,-0.1058,1.0,K_Scratch
485.0,493.0,1105756.0,1105768.0,75.0,11.0,12.0,8268.0,91,125,1696.0,0,1,60.0,0.5719,0.2188,0.6667,0.0047,0.7273,1.0,1.0,1.8751,0.9031,1.0792,0.3333,-0.1388,0.2018,Other_Faults
39.0,222.0,855369.0,855569.0,18203.0,696.0,480.0,2155986.0,25,143,1398.0,0,1,40.0,0.0558,0.5027,0.915,0.1309,0.2629,0.4167,1.0,4.2601,2.2624,2.301,0.085,-0.0747,1.0,K_Scratch
597.0,614.0,3674102.0,3674130.0,349.0,27.0,28.0,30422.0,50,124,1362.0,1,0,200.0,0.8766,0.2668,0.6071,0.0125,0.6296,1.0,1.0,2.5428,1.2305,1.4472,0.3929,-0.319,0.761,Bumps
41.0,181.0,2542022.0,2542072.0,4635.0,226.0,128.0,491662.0,38,127,1400.0,0,1,40.0,0.0586,0.3379,0.3571,0.1,0.6195,0.3906,0.0,3.666,2.1461,1.699,-0.6429,-0.1713,1.0,K_Scratch
924.0,935.0,1519112.0,1519120.0,64.0,14.0,8.0,6913.0,94,121,1624.0,1,0,70.0,0.8485,0.2727,0.7273,0.0068,0.7857,1.0,0.0,1.8062,1.0414,0.9031,-0.2727,-0.1561,0.1934,Bumps
1090.0,1103.0,255155.0,255186.0,168.0,37.0,33.0,21640.0,119,143,1374.0,0,1,40.0,0.3945,0.5831,0.4193,0.0095,0.3514,0.9394,1.0,2.2253,1.1139,1.4914,0.5806,0.0063,0.6619,Other_Faults
724.0,733.0,3320084.0,3320092.0,56.0,14.0,8.0,5857.0,87,124,1380.0,0,1,40.0,0.9377,0.2222,0.8889,0.0065,0.6429,1.0,0.0,1.7482,0.9542,0.9031,-0.1111,-0.1829,0.1773,Bumps
114.0,127.0,1127920.0,1127927.0,60.0,14.0,8.0,6685.0,102,124,1354.0,1,0,70.0,0.1684,0.3407,0.5385,0.0096,0.9286,0.875,0.0,1.7781,1.1139,0.8451,-0.4615,-0.1296,0.1965,Z_Scratch
109.0,141.0,4025621.0,4025624.0,53.0,32.0,7.0,6578.0,84,159,1690.0,1,0,70.0,0.129,0.4479,0.0938,0.0189,1.0,0.4286,0.0,1.7243,1.5051,0.4771,-0.9063,-0.0304,0.2018,Other_Faults
41.0,216.0,713328.0,713531.0,18908.0,853.0,535.0,2264960.0,24,143,1402.0,0,1,40.0,0.0585,0.4678,0.8621,0.1248,0.2052,0.3794,1.0,4.2766,2.243,2.3075,0.1379,-0.0641,1.0,K_Scratch
39.0,220.0,1835934.0,1836000.0,6644.0,252.0,113.0,689961.0,40,126,1358.0,0,1,40.0,0.0574,0.4438,0.3646,0.1333,0.7182,0.5841,0.0,3.8224,2.2577,1.8195,-0.6354,-0.1887,1.0,K_Scratch
1325.0,1332.0,1564451.0,1564476.0,97.0,19.0,25.0,11608.0,111,133,1354.0,0,1,40.0,0.0325,0.4457,0.28,0.0052,0.3684,1.0,1.0,1.9868,0.8451,1.3979,0.72,-0.0651,0.2998,Dirtiness
73.0,92.0,1964561.0,1964591.0,318.0,36.0,33.0,31789.0,85,124,1354.0,1,0,70.0,0.1078,0.4421,0.6333,0.014,0.5278,0.9091,1.0,2.5024,1.2787,1.4771,0.3667,-0.219,0.8563,Z_Scratch
616.0,622.0,2182058.0,2182079.0,82.0,14.0,21.0,9584.0,109,126,1366.0,0,1,100.0,0.9019,0.3492,0.2857,0.0044,0.4286,1.0,1.0,1.9138,0.7782,1.3222,0.7143,-0.0869,0.2359,Dirtiness
41.0,212.0,1935297.0,1935360.0,6493.0,293.0,135.0,676077.0,41,125,1358.0,0,1,40.0,0.0604,0.3973,0.3684,0.1259,0.5836,0.4667,0.0,3.8124,2.233,1.7993,-0.6316,-0.1865,1.0,K_Scratch
1155.0,1187.0,2574964.0,2574980.0,162.0,37.0,34.0,18471.0,104,127,1623.0,1,0,100.0,0.5373,0.6836,0.5,0.0197,0.8649,0.4706,0.0,2.2095,1.5051,1.2041,-0.5,-0.1092,0.8019,Other_Faults
