V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
44,technician,single,secondary,no,59.0,yes,no,cellular,18,may,9.0,4,341.0,19.0,failure,1
36,technician,married,tertiary,no,341.0,no,no,cellular,12,feb,419.0,2,183.0,1.0,success,2
27,management,single,tertiary,no,6791.0,no,no,cellular,24,jun,136.0,5,94.0,30.0,failure,1
41,technician,married,secondary,no,2185.0,yes,no,cellular,7,apr,157.0,4,309.0,4.0,other,1
42,management,married,tertiary,no,72.0,yes,no,cellular,20,apr,124.0,2,348.0,3.0,failure,1
53,management,married,tertiary,no,1624.0,no,no,cellular,11,nov,166.0,3,97.0,7.0,success,2
29,student,single,tertiary,no,80.0,yes,no,cellular,15,may,15.0,5,361.0,1.0,failure,1
59,blue-collar,married,primary,no,-91.0,yes,no,cellular,13,may,239.0,1,369.0,5.0,failure,1
30,management,single,tertiary,no,1761.0,yes,no,cellular,15,may,229.0,2,294.0,1.0,other,1
52,blue-collar,married,secondary,no,8180.0,yes,no,cellular,13,apr,81.0,1,144.0,1.0,failure,1
36,blue-collar,single,secondary,no,767.0,yes,no,cellular,5,may,62.0,1,355.0,2.0,other,1
41,services,single,primary,no,5907.0,yes,no,cellular,7,may,198.0,1,167.0,5.0,failure,1
48,admin.,single,secondary,no,3531.0,yes,no,cellular,20,apr,81.0,2,287.0,6.0,failure,1
42,blue-collar,single,primary,no,1628.0,yes,no,cellular,5,feb,119.0,1,195.0,8.0,success,1
28,management,single,tertiary,no,390.0,no,no,cellular,29,sep,845.0,1,232.0,4.0,success,2
55,retired,married,secondary,no,1279.0,yes,no,cellular,13,may,446.0,3,357.0,8.0,other,1
73,retired,married,secondary,no,2850.0,no,no,cellular,17,may,157.0,2,28.0,5.0,failure,1
33,management,single,tertiary,no,1410.0,yes,no,cellular,5,feb,8.0,1,254.0,5.0,failure,1
50,housemaid,divorced,secondary,no,0.0,no,no,telephone,13,aug,43.0,1,105.0,2.0,failure,1
27,admin.,single,secondary,no,827.0,yes,no,cellular,4,jun,73.0,1,107.0,1.0,failure,1
27,blue-collar,single,secondary,no,535.0,no,no,cellular,16,nov,183.0,1,94.0,1.0,success,2
45,blue-collar,single,secondary,no,0.0,yes,no,cellular,16,oct,283.0,1,165.0,3.0,failure,1
33,blue-collar,married,secondary,no,3514.0,yes,no,cellular,20,nov,214.0,2,184.0,2.0,failure,1
27,admin.,single,tertiary,no,689.0,no,no,cellular,26,jan,98.0,1,307.0,1.0,failure,1
31,technician,single,tertiary,no,-241.0,yes,no,cellular,18,may,333.0,2,355.0,1.0,failure,1
51,admin.,divorced,secondary,no,74.0,yes,no,cellular,8,may,74.0,2,287.0,2.0,failure,1
57,unemployed,divorced,secondary,no,79.0,yes,no,unknown,1,mar,60.0,1,592.0,2.0,failure,1
41,services,married,primary,no,4903.0,yes,no,cellular,18,may,155.0,1,180.0,2.0,failure,1
36,management,single,tertiary,no,671.0,yes,no,cellular,1,sep,161.0,1,457.0,2.0,failure,1
34,management,married,tertiary,no,5878.0,no,no,cellular,29,jan,159.0,7,98.0,3.0,success,1
25,services,married,secondary,no,10.0,yes,no,cellular,7,may,51.0,1,294.0,1.0,failure,1
35,technician,single,secondary,no,920.0,yes,no,cellular,11,aug,159.0,2,286.0,6.0,failure,1
36,services,divorced,secondary,no,543.0,yes,no,cellular,17,apr,101.0,1,269.0,2.0,failure,1
34,blue-collar,single,secondary,no,213.0,yes,no,cellular,11,may,47.0,1,343.0,2.0,failure,1
47,technician,married,secondary,no,644.0,no,no,telephone,28,jan,54.0,3,160.0,13.0,failure,1
36,unemployed,single,tertiary,no,953.0,yes,no,cellular,22,may,169.0,1,94.0,2.0,other,1
46,blue-collar,married,secondary,no,130.0,yes,no,cellular,14,may,106.0,1,349.0,1.0,failure,1
24,blue-collar,single,secondary,no,525.0,yes,no,cellular,16,apr,253.0,1,332.0,1.0,failure,1
29,blue-collar,divorced,unknown,no,101.0,yes,no,cellular,18,may,295.0,2,355.0,4.0,failure,1
36,blue-collar,married,primary,no,49.0,yes,no,cellular,15,may,232.0,2,365.0,5.0,other,1
33,blue-collar,single,secondary,no,15341.0,no,no,cellular,20,apr,335.0,1,334.0,3.0,failure,1
25,self-employed,single,unknown,no,1179.0,no,no,cellular,24,may,131.0,2,95.0,5.0,failure,1
43,admin.,married,secondary,no,214.0,yes,no,telephone,17,apr,421.0,2,324.0,24.0,failure,1
41,management,married,tertiary,no,27696.0,no,no,cellular,12,feb,138.0,2,184.0,3.0,success,2
50,admin.,married,secondary,no,10250.0,yes,no,cellular,7,dec,254.0,3,385.0,2.0,other,2
36,management,single,tertiary,no,243.0,yes,no,cellular,7,may,160.0,2,360.0,3.0,failure,1
40,management,married,tertiary,no,198.0,yes,no,cellular,18,may,214.0,5,364.0,8.0,failure,1
35,blue-collar,married,primary,no,443.0,yes,no,cellular,17,apr,185.0,2,316.0,3.0,other,1
48,blue-collar,married,secondary,no,1230.0,yes,no,cellular,13,may,328.0,2,182.0,3.0,success,2
53,management,single,secondary,no,5558.0,yes,no,cellular,21,nov,81.0,6,189.0,3.0,failure,1
31,blue-collar,married,secondary,no,1716.0,yes,no,cellular,13,apr,542.0,2,340.0,2.0,other,1
48,admin.,married,secondary,no,660.0,no,no,cellular,18,feb,318.0,1,561.0,2.0,success,2
36,unemployed,single,tertiary,no,1291.0,no,no,cellular,30,apr,195.0,1,86.0,1.0,success,2
39,blue-collar,married,primary,no,2366.0,yes,no,cellular,16,apr,1007.0,3,325.0,4.0,failure,1
21,student,single,secondary,no,2488.0,no,no,cellular,30,jun,258.0,6,169.0,3.0,success,2
48,services,married,primary,no,1496.0,yes,no,telephone,29,jan,284.0,2,258.0,2.0,failure,1
33,admin.,married,secondary,no,1737.0,no,no,cellular,14,aug,228.0,2,106.0,2.0,failure,1
28,admin.,married,secondary,no,1595.0,no,no,unknown,9,sep,1.0,1,254.0,4.0,success,1
59,technician,married,secondary,no,116.0,no,no,cellular,12,aug,398.0,4,422.0,3.0,failure,2
55,services,divorced,secondary,no,0.0,no,no,cellular,27,sep,262.0,6,193.0,4.0,success,2
39,services,married,secondary,no,1099.0,no,no,cellular,29,jan,211.0,2,245.0,6.0,failure,1
43,entrepreneur,single,primary,no,103.0,yes,no,cellular,18,nov,53.0,1,183.0,5.0,failure,1
46,technician,divorced,secondary,no,111.0,yes,no,cellular,19,nov,178.0,3,183.0,2.0,other,1
46,blue-collar,married,primary,no,588.0,yes,no,cellular,20,apr,249.0,3,237.0,4.0,failure,1
34,management,single,tertiary,no,5945.0,yes,no,cellular,8,may,285.0,1,170.0,1.0,failure,1
34,technician,married,secondary,no,0.0,yes,no,cellular,3,aug,261.0,1,470.0,2.0,failure,2
34,management,single,tertiary,no,76.0,yes,no,cellular,13,may,747.0,2,371.0,3.0,failure,2
31,management,married,tertiary,no,0.0,yes,no,cellular,4,may,108.0,2,167.0,1.0,failure,1
32,admin.,single,secondary,no,678.0,yes,no,cellular,4,feb,1579.0,1,246.0,4.0,failure,2
47,admin.,married,secondary,no,3676.0,no,no,cellular,15,jul,415.0,2,342.0,1.0,other,2
35,management,single,tertiary,no,612.0,no,no,cellular,11,nov,158.0,1,195.0,1.0,failure,1
37,admin.,single,tertiary,no,1000.0,yes,no,cellular,22,sep,239.0,1,99.0,2.0,success,2
51,blue-collar,married,primary,no,42.0,yes,no,cellular,12,may,51.0,2,342.0,3.0,failure,1
39,management,single,tertiary,no,4023.0,yes,no,cellular,29,jan,126.0,2,238.0,8.0,other,1
29,admin.,single,secondary,no,1992.0,no,no,cellular,8,jul,202.0,1,87.0,2.0,failure,1
34,technician,married,secondary,no,1026.0,no,no,cellular,12,nov,319.0,1,100.0,6.0,failure,1
38,blue-collar,single,primary,no,12130.0,yes,no,cellular,12,may,455.0,2,328.0,13.0,failure,1
41,admin.,divorced,secondary,no,1076.0,yes,no,cellular,3,jun,77.0,2,391.0,2.0,other,1
55,admin.,divorced,secondary,no,1872.0,no,no,cellular,27,may,76.0,3,103.0,5.0,success,1
33,blue-collar,married,secondary,no,328.0,yes,no,cellular,20,apr,72.0,1,264.0,9.0,failure,1
31,blue-collar,single,secondary,no,5607.0,no,no,cellular,20,nov,183.0,2,184.0,1.0,failure,1
27,blue-collar,single,secondary,no,535.0,no,no,cellular,16,aug,265.0,3,95.0,4.0,success,2
43,blue-collar,married,secondary,no,85.0,yes,no,cellular,20,apr,42.0,3,279.0,5.0,other,1
68,retired,single,tertiary,no,2144.0,no,no,cellular,22,oct,277.0,1,184.0,2.0,success,2
29,unemployed,single,primary,no,1374.0,no,no,cellular,14,may,1205.0,2,178.0,7.0,success,2
55,management,married,tertiary,no,719.0,yes,no,telephone,11,may,221.0,6,284.0,29.0,other,1
42,management,married,unknown,no,1519.0,no,no,cellular,19,oct,230.0,1,92.0,1.0,success,2
38,technician,married,secondary,no,1.0,yes,no,cellular,21,nov,57.0,5,199.0,1.0,success,1
48,management,divorced,tertiary,no,-478.0,yes,no,cellular,17,nov,87.0,5,167.0,6.0,failure,1
58,unknown,divorced,secondary,no,3111.0,yes,no,cellular,17,nov,111.0,1,188.0,2.0,failure,1
35,management,single,tertiary,no,681.0,no,no,cellular,18,feb,737.0,1,561.0,2.0,success,2
41,retired,single,primary,no,2579.0,no,no,cellular,27,jul,235.0,1,287.0,1.0,failure,1
52,management,married,tertiary,no,437.0,no,no,telephone,12,jun,137.0,3,113.0,1.0,other,1
32,blue-collar,married,secondary,no,491.0,yes,no,cellular,18,nov,131.0,3,194.0,2.0,failure,1
60,retired,divorced,tertiary,no,4.0,yes,no,cellular,26,may,400.0,3,358.0,2.0,failure,1
41,blue-collar,married,secondary,no,217.0,yes,no,cellular,15,apr,375.0,2,344.0,1.0,failure,1
70,retired,divorced,secondary,no,4572.0,no,no,cellular,8,jul,173.0,11,162.0,5.0,failure,1
32,management,married,tertiary,no,1388.0,yes,no,cellular,13,aug,102.0,1,105.0,1.0,success,1
38,management,married,tertiary,no,93.0,yes,no,cellular,25,may,74.0,1,272.0,4.0,failure,1
33,admin.,single,tertiary,no,490.0,yes,no,cellular,7,may,31.0,1,363.0,2.0,failure,1
29,management,single,tertiary,no,265.0,no,no,cellular,24,aug,130.0,2,94.0,1.0,success,2
53,management,married,tertiary,no,2578.0,no,no,cellular,19,nov,299.0,4,107.0,2.0,failure,1
33,technician,married,tertiary,no,1126.0,yes,no,unknown,6,sep,11.0,1,490.0,5.0,other,1
28,admin.,single,secondary,no,1391.0,yes,no,cellular,29,jan,462.0,2,247.0,1.0,failure,1
36,blue-collar,married,secondary,no,0.0,yes,no,cellular,17,nov,273.0,2,131.0,1.0,failure,1
35,admin.,married,secondary,no,725.0,yes,no,cellular,20,nov,219.0,7,133.0,1.0,failure,1
58,blue-collar,married,primary,no,630.0,yes,no,cellular,19,nov,59.0,1,174.0,1.0,failure,1
37,technician,single,secondary,no,5436.0,yes,no,cellular,6,may,7.0,11,351.0,1.0,failure,1
33,blue-collar,married,primary,no,217.0,yes,no,cellular,20,apr,198.0,1,339.0,3.0,failure,1
39,blue-collar,married,secondary,no,0.0,yes,no,cellular,13,may,513.0,3,176.0,2.0,failure,1
35,blue-collar,married,secondary,no,5304.0,yes,no,cellular,20,nov,340.0,1,183.0,2.0,failure,1
43,technician,divorced,secondary,no,1612.0,no,no,cellular,28,aug,119.0,2,95.0,3.0,success,1
43,blue-collar,married,secondary,no,3311.0,yes,no,telephone,20,nov,105.0,2,184.0,3.0,other,1
27,management,single,tertiary,no,377.0,no,no,cellular,21,aug,171.0,3,91.0,1.0,failure,1
33,management,single,tertiary,no,1431.0,no,no,cellular,30,apr,94.0,1,85.0,2.0,failure,1
60,admin.,married,secondary,no,-396.0,yes,no,cellular,11,may,443.0,1,350.0,1.0,failure,1
33,management,married,secondary,no,165.0,yes,no,telephone,5,feb,126.0,3,258.0,15.0,other,1
37,management,single,tertiary,no,1027.0,yes,no,cellular,2,mar,313.0,1,152.0,2.0,success,2
43,blue-collar,married,primary,no,714.0,yes,no,cellular,18,may,16.0,6,362.0,28.0,failure,1
33,services,married,secondary,no,90.0,yes,no,cellular,17,apr,170.0,2,263.0,2.0,failure,1
48,services,married,secondary,no,543.0,yes,no,cellular,16,apr,152.0,1,336.0,1.0,failure,1
37,blue-collar,married,primary,no,0.0,no,no,telephone,11,may,108.0,2,306.0,1.0,failure,1
31,technician,single,primary,no,449.0,yes,no,cellular,4,feb,140.0,4,252.0,1.0,failure,1
36,admin.,married,secondary,no,953.0,yes,no,cellular,17,aug,80.0,1,81.0,2.0,failure,1
58,technician,married,secondary,no,1.0,no,no,cellular,2,apr,333.0,1,64.0,2.0,failure,1
43,services,married,secondary,no,774.0,no,no,cellular,24,jun,482.0,1,91.0,2.0,success,2
32,student,single,secondary,no,14.0,no,no,cellular,19,aug,144.0,3,136.0,1.0,other,1
42,technician,divorced,secondary,no,611.0,yes,no,cellular,16,apr,804.0,2,262.0,5.0,failure,1
32,blue-collar,single,secondary,no,5252.0,yes,no,cellular,20,nov,232.0,2,183.0,2.0,failure,1
36,admin.,single,tertiary,no,2622.0,no,no,cellular,19,nov,640.0,1,127.0,5.0,failure,1
37,services,married,secondary,no,42.0,yes,no,cellular,12,may,107.0,3,369.0,4.0,failure,1
56,services,divorced,secondary,no,141.0,yes,no,cellular,11,may,63.0,2,370.0,2.0,failure,1
54,blue-collar,single,secondary,no,105.0,yes,no,cellular,17,apr,226.0,1,326.0,3.0,failure,1
58,services,married,secondary,no,1301.0,yes,no,cellular,11,may,261.0,1,286.0,2.0,failure,1
30,management,married,tertiary,no,877.0,no,no,cellular,22,may,122.0,2,108.0,3.0,failure,1
59,housemaid,married,secondary,no,0.0,no,no,telephone,7,aug,107.0,2,63.0,1.0,failure,1
34,student,single,unknown,no,242.0,no,no,telephone,4,mar,364.0,2,244.0,2.0,failure,1
52,admin.,divorced,secondary,no,340.0,yes,no,cellular,17,apr,463.0,1,344.0,1.0,failure,1
52,technician,married,secondary,no,98.0,yes,no,cellular,28,jan,103.0,1,245.0,2.0,failure,1
23,student,single,secondary,no,107.0,no,no,cellular,13,apr,256.0,5,181.0,2.0,success,2
32,technician,single,tertiary,no,69.0,no,no,cellular,7,may,95.0,1,357.0,3.0,other,1
38,services,married,secondary,no,741.0,yes,no,cellular,11,may,363.0,1,343.0,2.0,failure,1
61,retired,married,secondary,no,89.0,no,no,cellular,28,oct,154.0,1,181.0,2.0,failure,1
30,admin.,married,tertiary,no,26.0,yes,no,cellular,16,apr,62.0,1,323.0,1.0,failure,1
44,blue-collar,married,secondary,no,1311.0,yes,no,cellular,13,may,184.0,1,364.0,1.0,failure,1
49,management,married,tertiary,no,666.0,yes,no,cellular,12,may,337.0,1,309.0,6.0,failure,1
34,admin.,married,secondary,no,3185.0,yes,no,cellular,20,nov,93.0,1,191.0,1.0,failure,1
27,blue-collar,married,primary,no,500.0,yes,no,cellular,15,may,16.0,6,365.0,6.0,failure,1
59,retired,divorced,primary,no,47.0,yes,no,telephone,18,may,110.0,3,374.0,1.0,failure,1
33,services,single,secondary,no,406.0,yes,no,cellular,5,feb,61.0,1,275.0,1.0,failure,1
35,services,divorced,secondary,no,221.0,yes,no,cellular,14,may,150.0,1,360.0,1.0,failure,1
80,retired,married,secondary,no,8304.0,no,no,telephone,9,jun,712.0,1,64.0,12.0,failure,2
34,management,married,tertiary,no,714.0,yes,no,cellular,21,nov,328.0,4,113.0,27.0,failure,1
33,blue-collar,married,primary,no,902.0,yes,no,cellular,29,jan,207.0,2,247.0,2.0,failure,1
57,services,married,secondary,no,0.0,yes,no,cellular,14,may,16.0,9,282.0,3.0,other,1
33,technician,divorced,unknown,no,1279.0,yes,no,cellular,29,jan,128.0,1,206.0,7.0,other,1
45,admin.,married,secondary,no,1435.0,yes,no,cellular,11,aug,201.0,1,103.0,1.0,failure,1
66,retired,single,tertiary,no,0.0,no,no,cellular,12,jan,105.0,1,92.0,2.0,failure,1
42,unemployed,married,secondary,no,1289.0,no,no,cellular,15,jul,250.0,4,415.0,2.0,failure,2
31,technician,single,secondary,no,0.0,yes,no,cellular,11,may,163.0,1,370.0,1.0,failure,1
50,admin.,married,primary,no,246.0,yes,no,cellular,13,may,234.0,2,299.0,5.0,failure,1
55,housemaid,divorced,tertiary,no,1241.0,no,no,cellular,21,nov,48.0,7,154.0,5.0,failure,1
37,technician,divorced,tertiary,no,1174.0,yes,no,cellular,7,apr,436.0,1,140.0,2.0,failure,1
29,blue-collar,married,secondary,no,64.0,yes,no,cellular,14,may,444.0,2,366.0,3.0,failure,1
26,student,single,unknown,no,2503.0,no,no,cellular,30,apr,121.0,1,63.0,2.0,failure,1
33,management,married,tertiary,no,113.0,yes,no,cellular,8,may,145.0,2,172.0,13.0,other,1
36,admin.,married,secondary,no,788.0,yes,no,cellular,6,may,403.0,1,345.0,1.0,failure,1
45,self-employed,married,secondary,no,830.0,no,no,cellular,19,nov,180.0,1,111.0,2.0,failure,1
35,technician,single,tertiary,no,992.0,yes,no,cellular,26,aug,79.0,1,114.0,3.0,failure,1
38,blue-collar,married,secondary,no,730.0,yes,no,cellular,20,apr,19.0,5,328.0,8.0,other,1
33,admin.,single,tertiary,no,272.0,yes,no,cellular,1,sep,293.0,2,92.0,3.0,success,2
40,services,married,secondary,no,9374.0,yes,no,cellular,21,nov,7.0,8,185.0,1.0,failure,1
35,technician,single,secondary,no,951.0,yes,no,cellular,30,jan,163.0,1,254.0,1.0,failure,1
49,management,married,tertiary,no,5887.0,no,no,cellular,4,dec,439.0,3,185.0,5.0,success,2
44,admin.,married,secondary,no,429.0,yes,no,cellular,28,jan,99.0,1,246.0,4.0,failure,1
30,blue-collar,single,secondary,no,8950.0,yes,no,cellular,18,may,11.0,4,355.0,1.0,other,1
35,management,married,tertiary,no,2123.0,yes,no,cellular,20,apr,54.0,1,273.0,3.0,failure,1
50,admin.,single,secondary,no,5816.0,yes,no,telephone,12,may,217.0,1,175.0,2.0,failure,1
47,blue-collar,married,unknown,no,1044.0,yes,no,cellular,12,may,208.0,6,371.0,1.0,failure,1
39,services,married,secondary,no,104.0,yes,no,cellular,20,apr,116.0,2,332.0,6.0,failure,1
50,management,married,secondary,no,2910.0,no,no,telephone,19,nov,433.0,1,113.0,1.0,failure,1
44,entrepreneur,married,tertiary,no,1631.0,yes,no,cellular,17,nov,81.0,1,195.0,2.0,failure,1
37,management,married,tertiary,no,1594.0,yes,no,cellular,17,apr,110.0,1,260.0,5.0,failure,1
44,management,married,tertiary,no,58.0,yes,no,cellular,17,nov,48.0,1,126.0,3.0,failure,1
53,self-employed,married,secondary,no,1066.0,yes,no,cellular,18,nov,110.0,1,186.0,3.0,failure,1
37,management,married,tertiary,no,1113.0,no,no,cellular,2,mar,229.0,1,182.0,1.0,success,2
38,blue-collar,married,secondary,no,1165.0,yes,no,cellular,13,aug,784.0,3,94.0,10.0,failure,2
28,self-employed,single,tertiary,no,270.0,yes,no,cellular,7,may,49.0,2,345.0,2.0,failure,1
36,blue-collar,married,primary,no,4693.0,yes,no,cellular,20,apr,15.0,6,152.0,21.0,other,1
31,management,single,tertiary,no,4319.0,yes,no,cellular,29,apr,153.0,4,161.0,1.0,failure,1
38,admin.,married,primary,no,3913.0,yes,no,cellular,20,apr,196.0,2,315.0,2.0,failure,1
82,retired,divorced,primary,no,928.0,no,no,telephone,23,sep,217.0,2,188.0,3.0,other,1
49,technician,married,tertiary,no,196.0,no,no,cellular,4,feb,9.0,7,163.0,24.0,other,1
42,services,married,tertiary,no,412.0,yes,no,telephone,19,nov,142.0,4,169.0,5.0,failure,1
61,self-employed,married,tertiary,no,10861.0,no,no,cellular,26,jul,336.0,2,259.0,3.0,success,2
43,management,single,tertiary,no,146.0,no,no,cellular,21,nov,50.0,1,113.0,5.0,other,1
44,services,divorced,secondary,no,0.0,yes,no,cellular,11,may,151.0,2,370.0,2.0,failure,1
36,blue-collar,single,secondary,no,3508.0,yes,no,cellular,7,apr,183.0,1,266.0,3.0,failure,1
53,entrepreneur,married,unknown,no,19850.0,no,no,cellular,18,nov,52.0,1,165.0,1.0,failure,1
26,blue-collar,single,primary,no,155.0,yes,no,cellular,29,jan,291.0,1,244.0,4.0,failure,1
37,management,married,tertiary,no,1330.0,yes,no,cellular,29,jan,41.0,2,261.0,1.0,failure,1
30,management,single,tertiary,no,638.0,yes,no,cellular,20,apr,483.0,2,291.0,6.0,other,1
30,services,married,tertiary,no,6.0,yes,no,cellular,5,may,279.0,2,342.0,2.0,failure,1
36,management,single,tertiary,no,436.0,no,no,cellular,13,apr,567.0,1,595.0,2.0,failure,2
33,services,single,secondary,no,187.0,yes,no,cellular,20,apr,168.0,3,326.0,1.0,failure,1
53,admin.,married,primary,no,0.0,yes,no,cellular,8,may,86.0,1,298.0,3.0,failure,1
43,self-employed,married,tertiary,no,10072.0,no,no,cellular,12,may,98.0,1,77.0,5.0,failure,1
42,technician,married,primary,no,275.0,no,no,cellular,17,nov,295.0,2,109.0,9.0,failure,1
52,technician,married,secondary,no,337.0,yes,no,cellular,8,may,247.0,1,261.0,4.0,failure,1
50,technician,married,unknown,no,-287.0,yes,no,cellular,8,may,92.0,1,347.0,1.0,failure,1
31,admin.,single,tertiary,no,4129.0,no,no,cellular,2,mar,105.0,1,182.0,1.0,failure,1
52,technician,married,tertiary,no,136.0,yes,no,telephone,14,may,46.0,2,287.0,10.0,other,1
28,management,single,tertiary,no,12956.0,yes,no,cellular,2,jul,940.0,1,399.0,3.0,success,2
53,management,married,tertiary,no,2124.0,yes,no,cellular,17,apr,121.0,2,344.0,2.0,failure,1
62,retired,married,primary,no,1515.0,yes,no,cellular,15,apr,98.0,4,178.0,3.0,failure,1
32,technician,married,tertiary,no,432.0,yes,no,cellular,19,nov,164.0,2,195.0,1.0,other,1
40,blue-collar,single,primary,no,446.0,yes,no,cellular,8,apr,594.0,4,331.0,1.0,failure,1
44,services,married,secondary,no,3843.0,yes,no,cellular,17,nov,70.0,1,150.0,2.0,other,1
56,blue-collar,divorced,primary,no,12.0,no,no,cellular,20,nov,282.0,2,135.0,1.0,failure,1
66,retired,married,secondary,no,203.0,no,no,cellular,18,jan,353.0,1,195.0,1.0,success,2
28,blue-collar,single,secondary,no,2806.0,no,no,cellular,13,oct,285.0,1,120.0,1.0,other,1
61,retired,married,secondary,no,5196.0,no,no,telephone,16,mar,244.0,2,95.0,4.0,other,1
35,blue-collar,married,primary,no,2490.0,yes,no,cellular,18,may,170.0,1,180.0,3.0,failure,1
46,blue-collar,married,secondary,no,-3.0,yes,no,cellular,29,jan,79.0,2,265.0,2.0,failure,1
63,retired,married,unknown,no,1849.0,no,no,cellular,25,feb,125.0,6,177.0,2.0,failure,1
38,unknown,single,tertiary,no,0.0,no,no,cellular,11,sep,260.0,3,95.0,3.0,success,2
59,technician,divorced,secondary,no,797.0,yes,no,cellular,18,nov,319.0,2,165.0,2.0,failure,1
41,technician,single,tertiary,no,1646.0,yes,no,cellular,4,feb,261.0,1,184.0,6.0,success,2
39,blue-collar,married,primary,no,558.0,yes,no,unknown,22,jul,23.0,1,531.0,3.0,failure,1
29,blue-collar,single,tertiary,no,455.0,no,no,telephone,27,may,214.0,2,36.0,1.0,success,2
34,management,married,tertiary,no,271.0,yes,no,cellular,15,feb,308.0,1,94.0,4.0,success,2
61,blue-collar,married,primary,no,5.0,no,no,cellular,6,aug,562.0,2,94.0,3.0,success,2
20,student,single,secondary,no,130.0,no,no,telephone,11,aug,88.0,1,99.0,3.0,failure,1
42,unemployed,divorced,secondary,no,759.0,no,no,cellular,28,jan,97.0,1,169.0,3.0,failure,1
36,admin.,single,tertiary,no,980.0,no,no,cellular,11,nov,118.0,4,104.0,7.0,failure,1
35,blue-collar,divorced,secondary,no,286.0,yes,no,cellular,15,may,158.0,1,365.0,4.0,other,1
75,retired,married,secondary,no,3771.0,no,no,telephone,15,apr,185.0,1,181.0,2.0,success,2
44,technician,married,secondary,no,1901.0,no,no,cellular,18,nov,143.0,3,104.0,2.0,failure,1
36,blue-collar,married,primary,no,994.0,yes,no,cellular,14,may,154.0,2,356.0,8.0,success,1
35,management,married,secondary,no,724.0,yes,no,cellular,18,oct,102.0,3,96.0,3.0,success,1
47,blue-collar,married,secondary,no,473.0,yes,no,cellular,21,nov,127.0,2,176.0,2.0,other,1
37,blue-collar,single,secondary,no,2235.0,yes,no,cellular,20,apr,419.0,2,151.0,2.0,failure,1
26,blue-collar,single,secondary,no,384.0,yes,no,cellular,18,may,16.0,1,364.0,2.0,other,1
52,management,divorced,tertiary,no,1988.0,yes,no,cellular,6,may,88.0,1,299.0,1.0,failure,1
33,blue-collar,married,secondary,no,328.0,yes,no,cellular,18,nov,160.0,2,182.0,1.0,failure,1
31,admin.,married,secondary,no,4457.0,yes,no,cellular,16,apr,225.0,1,146.0,4.0,success,1
27,self-employed,married,tertiary,no,10005.0,yes,no,cellular,14,apr,163.0,3,271.0,2.0,failure,1
41,management,married,tertiary,no,326.0,no,no,cellular,6,feb,163.0,1,182.0,2.0,failure,1
30,blue-collar,married,secondary,no,246.0,yes,no,cellular,18,nov,166.0,2,113.0,5.0,failure,1
77,retired,married,secondary,no,638.0,no,no,cellular,11,feb,288.0,1,188.0,1.0,success,2
33,admin.,married,secondary,no,1077.0,yes,no,cellular,18,may,432.0,3,374.0,3.0,other,1
33,technician,single,tertiary,no,1636.0,yes,no,cellular,4,may,592.0,1,66.0,1.0,success,2
